species,date_collected,weeks_dried,location,donating_institution,storage_type,extraction_method,RNA_concentration,260_280,260_230,galbut_virus_positive_qPCR,sample_id,I7_index,I5_index,sample_type,include_in_plots,R1_strand
melanogaster,2020,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo20_TD_3,,,wild_caught,T,reverse
melanogaster,2020,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo20_TD_4,,,wild_caught,T,reverse
melanogaster,2020,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo20_TD_5,,,wild_caught,T,reverse
melanogaster,2020,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo20_TD_6,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_LK_1,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_LK_2,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_LK_3,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_LK_4,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_LK_5,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_LK_6,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_1,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_10,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_11,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_12,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_13,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_14,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_15,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_16,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_17,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_18,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_19,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_2,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_20,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_21,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_3,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_4,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_5,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_6,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_7,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_8,,,wild_caught,T,reverse
melanogaster,2021,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,FoCo21_MDS_C2_9,,,wild_caught,T,reverse
melanogaster,NA,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,HeLa_PosCtrl,,,negative,F,reverse
melanogaster,NA,NA,"Fort Collins, CO",Colorado State University,Frozen,NA,,,,,Hydei_F_1,,,fresh,F,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701558_SRR12187526,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701559_SRR12187525,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701560_SRR12187524,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701561_SRR12187523,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701562_SRR12187522,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701563_SRR12187521,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701564_SRR12187520,,,Fresh_frozen,T,reverse
