EL1: Electronic Ladder,A1: 4WkFrozen_F_2,B1: 4WkFrozen_F_3,C1: 8WkFrozen_F_2,D1: 8WkFrozen_F_3,E1: 12WkFrozen_F_2,F1: 12WkFrozen_F_3,G1: 16WkFrozen_F_2,H1: 16WkFrozen_F_3,A2: 20WkFrozen_F_2,B2: 20WkFrozen_F_3,C2: 24WkFrozen_F_2,D2: 24WkFrozen_F_3,E2: 36WkFrozen_F_2,F2: 36WkFrozen_F_3,G2: 48WkFrozen_F_2,H2: 48WkFrozen_F_3
0,0.3140202,0.223088,0,0.03585887,0.0186677,0.2290573,0.2901611,0.1631532,0.2235799,0.1506114,0.07559824,0.1335516,0,0.03699684,0.0616045,0.02494574
0,0.2641807,0.2214491,0.1087441,0.05256701,0.03045893,0.2085409,0.2242541,0.0897193,0.2172918,0.2956338,0.06495905,0.131969,0.05339384,0,0,0.005295277
0.04109764,0.1895802,0.1615489,0.2444692,0.07490277,0.007758617,0,0.2012196,0,0.1555514,0.3328547,0.1090379,0.06520224,0.1152949,0,0,0
0,0.120018,0.1893702,0.3575392,0.1328483,0.05087471,0.03738022,0.190444,0.003065109,0.07603121,0.231236,0.08401537,0,0.1742887,0.04525185,0,0
0.02638292,0.1074414,0.1614759,0.3596239,0.1260233,0.02428913,0.03740692,0.1587214,0.09468794,0.09691572,0.1860414,0.123703,0,0.1487169,0.08089638,0.1055713,0
0.06229401,0.1654973,0.2007744,0.3333383,0.06516886,0.04167461,0,0.1380873,0,0.08822918,0.1195002,0.05665541,0,0.1871009,0.01566076,0.2415476,0
0.04121494,0.03577733,0.1524794,0.3288651,0.0574286,0.03938818,0,0.03702354,0.07181692,0.1171699,0.01277971,0,0.07874823,0.1267447,0.05041885,0.2394958,0.04810762
0,0,0.06570268,0.2331262,0.01710892,0,0.04287195,0,0.1496749,0.1392312,0.03383541,0,0.1237388,0.0640378,0.09763432,0.2366848,0.07615185
0,0,0,0.1785636,0.04900384,0,0.02586651,0,0.1465836,0.1626925,0.0134182,0.04510212,0.1472912,0,0.0415597,0.2709708,0.1295533
0,0.03938127,0.01156807,0.06596947,0.02609015,0,0.01996517,0.0733695,0.1276155,0.2693896,0.004636765,0.07149792,0.1740041,0.003534317,0.04850101,0.2207046,0.1898656
0,0.07780695,0.06459999,0.01147938,0.02051258,0,0.07041693,0.08136797,0.1466951,0.3154488,0,0.1179171,0.05950832,0.1067886,0.1060953,0.1317296,0.2098389
0,0.1095107,0.03852463,0,0.03037906,0,0.06233835,0,0.05293274,0.3274632,0.03996181,0.1069303,0.03394318,0.2411752,0.1150088,0.08686686,0.1242495
0,0.07205653,0.07206225,0,0.07936883,0,5.483627E-05,0.02189016,0.05520296,0.2235098,0.06085968,0.1320987,0.01059675,0.3112054,0.1169548,0.1545768,0.1039352
0,0.03024197,0.2507637,0.04542828,0.08520365,0.08639622,0,0.01206446,0.06740475,0.217814,0,0.1680384,0.02821064,0.4360919,0.1686811,0.1563048,0.0479517
0,0.05201387,0.15977,0,0.14994,0.09638119,0,0,0.04813576,0.2351556,0,0.1299052,0,0.4072251,0.2158341,0.1667213,0
0,0.07715034,0.1545739,0,0.1578875,0.1571736,0.0362134,0.007203579,0,0.1648903,0.05761957,0.03949547,0.1240425,0.4325714,0.2364621,0.1291795,0.05098629
0,0,0.1307049,0,0.1225028,0.1288614,0.2202101,0,0,0.2034163,0,0.03267241,0.2903075,0.4094286,0.07886887,0.0190568,0
0,0,0.04413819,0,0.09449387,0.0862689,0.1411114,0,0.001654625,0.2153287,0.005409241,0.05576277,0.3356085,0.3166699,0.07919216,0,0
0.3040228,0,0,0.001480579,0.07292938,0.08646631,0.07720327,0,0.03221798,0.2609367,0.04887581,0.02541685,0.3449788,0.2163401,0.02537775,0,0
1.405515,0,0.0251708,0.1051002,0.02637672,0.05110741,0.106163,0,0.05477905,0.3488564,0.04078007,0.06386995,0.3505974,0.3218832,0,0,0.008173466
2.834507,0,0.08054352,0.1208429,0.04047036,0.122602,0.03069878,0,0.1269794,0.2810969,0.007785797,0.06919527,0.1754522,0.4384432,0,0,0.06107855
4.043449,0,0.08623338,0.1287642,0,0.1197858,0.01122904,0.01840305,0.122468,0.1462259,0.04268456,0,0.0479908,0.5029879,0.0436058,0.001835346,0.05096579
5.409372,0.005527973,0.2051454,0.09109735,0,0.1623545,0,0.09894896,0.2033792,0.1048598,0.04074478,0.006604671,0,0.5037169,0,0.1404576,0.07058716
7.060751,0,0.2648437,0.08475876,0,0.07280207,0,0.1145563,0.1892796,0.05539322,0,0.02854776,6.055832E-05,0.5014935,0,0.1834431,0.03616047
9.01142,0.0237031,0.2440021,0.003150463,0.1282616,0,0.01467943,0.2358088,0.09019756,0.02202034,0.02145243,0.0001087189,0,0.3535681,0,0.1579108,0
11.38547,0.07250929,0.286432,0,0.08955526,0,0.07978916,0.4182825,0.09461832,0,0.06847382,0,0.09668589,0.2566276,0.05794334,0.09112024,0.0051651
14.12005,0.1182861,0.2291534,0,0.04881716,0,0.08130312,0.4385324,0.03797293,0,0,0,0.1649737,0.1797433,0,0.05578661,0
17.26014,0.06486964,0.1555295,0,0,0,0,0.4242234,0,0,0,0,0.2390208,0.01287222,0.04692841,0.01691961,0.02433157
20.97051,0.03851867,0.1004813,0,0,0,0,0.359293,0,0,0,0,0.2708268,0,0.1163087,0,0
25.3254,0.09519768,0,0,0,0,0.03789043,0.2179899,0,0,0.008922577,0.05638552,0.355289,0,0.1276488,0,0
30.42628,0.04905248,0,0,0.003848553,0,0,0.1946034,0,0,0.0109005,0.07442856,0.2407403,0,0.2271066,0,0
36.0128,0,0,0,0.03253555,0,0,0.1667089,0,0.1173224,0.05246496,0.09245205,0.1800566,0,0.2432957,0,0.04407597
42.3921,0,0,0,0.06055546,0,0,0.09147549,0.07385302,0.2208052,0.0300746,0.08721733,0.0811553,0,0.1887593,0,0.1106362
49.75721,0,0,0,0.07824039,0,0.1564541,0.03280783,0.04324245,0.265079,0.02868271,0.03386021,0.07238626,0,0.09236288,0,0.1566896
58.11675,0,0,0,0.08909988,0,0.143261,0.05539322,0,0.2709084,0.0900898,0.0272975,0.05423641,0,0.03200293,0,0.1786542
67.09781,0.01882696,0.0728519,0,0,0,0.06545544,0.0627594,0,0.2287059,0.06397295,0.00742054,0.06119347,0,0.03212738,0,0.2660236
76.59318,0.07294893,0.1401713,0,0,0,0,0,0,0.1360216,0.0135932,0,0.01651144,0.03590441,0.02243376,0,0.2637882
86.53235,0,0.1983793,0,0,0,0,0,0,0.08299685,0,0,0.05420876,0.04325867,0,0,0.1889739
96.71154,0,0.1389215,0,0,0,0,0,0,0,0,0,0,0.08657074,0,0.01871252,0.1273713
107.3292,0,0.07359982,0,0,0,0,0,0,0.02347088,0.06031656,0,0.07012463,0.112133,0,0,0.06829977
118.0085,0,0.09529638,0,0,0,0.006174088,0,0,0.09221506,0,0,0.09820318,0.06773472,0.001125813,0,0.04559803
