EL1: Electronic Ladder,A1: 40Wk,B1: 44Wk,C1: 48Wk
19.28988,210.564,208.6386,86.08875
19.35769,208.5029,206.3464,81.45153
19.3758,206.6711,203.9263,77.08136
19.57454,204.5325,202.7188,73.20208
19.62598,202.6677,200.7557,69.52391
19.78218,201.1513,199.3049,66.28197
20.18354,199.5998,197.3126,63.02937
20.41926,197.726,195.5017,60.31278
20.65388,195.9051,194.2209,57.75988
21.04916,194.1941,192.9886,55.49691
21.33175,192.3416,191.8316,53.44884
21.92436,190.1617,190.7825,51.48906
22.47783,187.5611,189.5222,49.66119
23.19967,184.9792,188.5496,48.15733
24.00547,182.072,186.295,46.52027
24.92137,179.5626,184.1813,45.20029
26.07762,176.7668,181.7727,43.94315
27.05424,173.7578,179.3456,42.86668
28.35841,170.4718,176.9476,41.70879
29.94373,167.1803,174.1287,40.67571
31.9086,163.5617,171.0957,39.61509
34.26385,159.8998,168.0623,38.59035
36.98215,155.8513,164.8008,37.81524
40.44484,151.9169,161.1339,36.9477
44.49338,147.8882,156.9754,36.04773
49.04794,144.0435,152.7968,35.30088
54.35099,140.1959,148.6781,34.63047
60.32379,136.4633,144.5459,34.00675
67.59665,132.7593,140.4382,33.33797
76.28723,129.2075,136.1209,32.76947
86.51976,125.6841,132.0901,32.25975
97.90131,122.319,128.0017,31.81268
110.6739,119.0497,123.8924,31.36584
125.2747,115.839,119.9177,30.93397
140.65,112.9794,116.2529,30.39213
156.6973,110.2381,112.9089,29.7943
174.3146,107.6265,109.8437,29.16829
192.1764,105.0122,106.8811,28.63686
210.3529,102.6752,104.1947,28.22686
229.0379,100.5189,101.6969,27.8643
247.1249,98.33714,99.46058,27.64936
263.5541,96.25871,97.19349,27.41287
278.7838,94.2867,95.04587,27.32138
292.334,92.61419,92.97926,27.17086
303.5136,91.03298,91.15333,26.89043
312.692,89.42789,89.494,26.58208
320.2479,87.90021,88.19943,26.19041
324.4709,86.38904,86.8685,25.90854
325.13,85.02444,85.87027,25.68538
321.8196,83.72762,85.12868,25.43181
314.2173,82.32768,84.20221,25.1654
301.6001,80.97463,83.58666,25.00439
285.5716,79.63564,82.93752,24.78301
266.1414,78.25383,82.09989,24.47987
244.6514,76.92202,81.32874,24.17664
222.0472,75.48657,80.38716,23.93933
199.2599,74.05935,79.49908,23.6422
177.1982,72.66857,78.47066,23.46342
155.8681,71.25193,77.32478,23.24394
135.7902,69.98098,76.23494,23.0509
117.63,68.66544,74.82524,22.80593
101.3451,67.40646,73.47322,22.55935
87.3914,66.13196,72.09429,22.29996
75.58495,64.67766,70.56998,22.09328
65.88819,63.42312,69.33604,21.85791
58.11989,62.05135,67.9696,21.7742
52.0619,60.64315,66.68718,21.60185
47.68968,59.37972,65.44946,21.50115
44.34575,58.22148,64.1976,21.36008
41.65612,57.38073,62.83642,21.22979
39.66372,56.65787,61.40733,21.06371
38.28231,56.03169,59.95701,20.88751
36.87449,55.18689,58.61028,20.73122
35.83654,54.36529,57.22262,20.58785
34.94268,53.62648,56.19888,20.48933
34.24714,52.60375,55.07166,20.44775
33.63666,51.50338,54.07417,20.33533
33.13741,50.49487,53.09221,20.23235
32.5499,49.62109,52.13638,20.10609
31.83706,48.86052,51.10918,19.92659
31.33617,48.23273,50.28034,19.69357
30.74152,47.51335,49.56722,19.51593
30.1513,46.70957,48.82671,19.4213
29.65636,46.11798,48.05293,19.30959
29.13369,45.37225,47.40505,19.1621
29.03858,44.67672,46.72497,19.13345
28.80333,44.00177,46.08955,19.09267
28.68405,43.35696,45.4499,19.01793
28.53453,42.72254,44.93584,19.01728
28.3835,42.0625,44.44995,18.88607
28.41796,41.39317,43.92647,18.81457
28.3785,40.83755,43.42493,18.94183
28.49684,40.341,42.90834,19.1284
28.68027,39.86677,42.32803,19.18134
28.8009,39.35283,41.63659,19.07141
29.15866,38.98348,41.05141,18.93322
29.19191,38.64869,40.47536,18.72582
29.2986,38.3576,39.97327,18.46381
29.56035,38.05413,39.53256,18.21692
29.79193,37.70378,39.03471,17.89877
29.99135,37.28598,38.44401,17.7342
30.35151,36.91386,37.96459,17.72081
30.71473,36.41445,37.44276,17.78991
31.33374,35.90645,36.87574,17.82759
31.8958,35.21245,36.18679,17.75002
32.6011,34.69794,35.71507,17.68804
33.20981,34.29708,35.11463,17.69221
34.07283,33.84366,34.70976,17.64575
35.05488,33.47132,34.37949,17.59906
36.04663,33.15153,33.98141,17.47364
36.83076,32.83325,33.55469,17.35655
37.98085,32.46637,33.21218,17.21669
39.08854,32.31741,32.74405,17.18626
40.44449,32.09398,32.26559,17.02401
41.66251,31.76986,31.83129,16.92762
43.2342,31.44508,31.55235,16.84164
44.89377,31.16302,31.14233,16.75896
46.91675,30.83812,30.97396,16.70579
48.89026,30.56731,30.72959,16.76327
51.3625,30.61177,30.37853,16.78656
55.00621,30.7725,29.9702,16.84182
60.78937,31.39775,29.69709,16.85009
67.45579,32.59154,29.48758,16.93321
76.93469,34.00813,29.25595,16.91593
89.78162,35.76616,29.15716,16.79531
108.1065,37.62601,29.09657,16.55209
132.5022,39.62787,29.12342,16.35797
163.1454,41.45946,29.24407,16.30144
200.3711,42.96354,29.28281,16.29121
243.9467,44.23896,29.13338,16.30994
291.2039,44.96261,28.89944,16.33686
338.1341,45.39397,28.58557,16.52548
378.441,45.55228,28.38863,16.762
410.5762,45.21972,28.08226,16.7677
429.4778,44.6118,27.56191,16.66371
434.5762,43.64325,27.10451,16.46123
424.2587,42.49766,26.80316,16.34924
401.0224,41.23531,26.527,16.25462
367.8916,40.08913,26.24604,16.10892
328.8126,39.14397,25.86355,16.04078
286.2986,38.31445,25.36941,15.94823
243.6584,37.82125,24.91557,16.15193
203.4726,37.55616,24.61024,16.08775
168.3684,37.23724,24.36291,15.96121
138.6168,36.833,23.9402,16.05816
115.0981,36.17192,23.65989,16.03164
96.43207,35.37805,23.44069,16.0863
83.11102,34.53803,23.22971,15.9884
73.37795,33.69947,23.04929,15.94313
66.56516,32.8345,22.68987,16.01787
61.43027,31.94226,22.37441,16.01887
57.54845,31.10197,22.17552,16.19227
54.54342,30.16391,21.93754,16.02963
52.24219,29.20651,21.76801,16.12365
50.74192,28.09973,21.57696,16.2844
49.5243,27.00211,21.31979,16.43787
48.23606,25.86496,21.08764,16.40244
47.05144,24.90117,20.85865,16.2584
45.9033,23.97852,20.5553,16.26624
44.80546,23.18381,20.21507,16.29512
43.8345,22.44748,19.91302,16.20918
42.99827,21.72911,19.60415,16.26921
41.84529,21.09295,19.42291,16.24762
41.15577,20.5254,19.38269,16.20445
40.62458,20.10451,19.40048,16.24629
40.24195,19.71381,19.37875,16.29923
40.09595,19.33367,19.26175,16.19765
40.08971,19.11563,19.17146,16.11344
40.16565,18.80615,18.91703,16.02383
40.27295,18.55104,18.7118,15.97138
40.27584,18.30573,18.32294,15.88142
40.3533,18.01334,17.9871,15.96603
39.90576,17.75864,17.87712,16.08918
39.52253,17.51197,17.79067,16.04551
39.328,17.33142,17.72376,16.18436
38.97767,17.03255,17.73298,16.13144
38.9377,16.88224,17.61262,16.12132
38.84604,16.68362,17.59352,15.95177
38.8927,16.32684,17.50167,15.83135
39.03972,16.24572,17.46529,15.79886
39.08849,16.07278,17.32825,15.77329
39.39025,15.87942,17.26932,15.85798
39.43625,15.58971,17.00609,15.95186
39.56673,15.39511,16.83183,15.96699
39.79207,15.08258,16.65373,15.9784
40.00423,15.04528,16.43045,15.9056
40.51925,15.00812,16.19025,15.99882
40.74812,14.87776,16.02486,15.95498
41.04582,14.7791,15.92808,15.96357
41.44083,14.84928,15.8514,15.9448
41.66561,14.70732,15.65502,15.99142
41.9361,14.51795,15.57139,15.92028
42.04552,14.27387,15.36863,15.82343
42.30717,14.06291,15.27459,15.64302
42.51877,13.74698,15.14917,15.42897
43.29195,13.84473,15.03671,15.29834
44.16927,13.78991,15.0015,15.34973
44.80107,13.65648,14.91081,15.27254
45.88068,13.67535,14.92637,15.26105
47.22343,13.68091,14.83247,15.31268
48.34975,13.60041,14.64099,15.46301
49.37782,13.52162,14.58947,15.57402
50.39648,13.4404,14.46407,15.69145
51.83561,13.27607,14.28928,15.79071
52.99356,13.0615,14.15505,15.77165
54.57263,12.99903,14.15611,15.79492
56.20294,12.9493,14.12271,15.79475
58.65975,12.83615,13.97754,15.61311
61.24603,12.95608,13.93772,15.56265
64.48589,12.98118,13.83334,15.49658
69.39481,12.97808,13.67663,15.5039
75.40455,12.95322,13.61072,15.46821
82.90659,12.96361,13.50396,15.39526
92.90875,12.88563,13.35867,15.40902
105.8389,12.78999,13.12523,15.4092
124.8385,12.62925,13.14683,15.40923
152.2131,12.55054,13.07368,15.38982
