EL1: Electronic Ladder,A1: 72WkDry_F_1,B1: 72WkFrozen_F_1
8.012654,5.381859,14.56056
7.826961,5.434832,14.51961
7.440206,5.298674,14.65813
7.225717,5.22249,14.70163
7.17373,5.26441,14.84077
6.929011,5.270826,14.92695
6.670002,5.226854,14.90191
6.534923,5.230591,14.85608
6.438015,5.224249,14.6173
6.533257,5.217688,14.42282
6.545789,5.211941,14.25546
6.555316,5.093399,14.0722
6.438367,4.790083,14.0461
6.381869,4.542439,13.95089
6.320765,4.37542,13.939
6.14119,4.266701,13.99707
5.945993,4.235697,14.06534
5.762953,4.307562,14.1348
5.588173,4.399485,14.13518
5.522785,4.484528,14.12231
5.494606,4.512966,14.20854
5.46798,4.501337,14.12471
5.308587,4.296339,14.02633
5.249495,4.171848,13.85141
5.238706,4.080429,13.69022
5.190334,4.115349,13.50729
5.051305,4.107538,13.48861
4.876223,4.146597,13.40867
4.631876,4.128839,13.49776
4.561522,4.158121,13.51939
4.465994,4.095001,13.61761
4.224935,3.968708,13.5396
4.138312,3.72337,13.46299
4.119016,3.581408,13.3861
4.15511,3.370199,13.31544
4.014673,3.38238,13.1264
3.865959,3.412727,13.09388
3.694413,3.405403,12.88663
3.649324,3.457218,12.79199
3.608536,3.45385,12.6412
3.568916,3.35285,12.51178
3.633841,3.318565,12.4256
3.723514,3.296209,12.2747
3.584785,3.160749,12.23132
3.514358,2.940182,12.31489
3.163714,2.970945,12.4165
2.882694,2.989674,12.56068
2.646958,2.862829,12.51135
2.617253,2.860331,12.45818
2.573172,2.839758,12.41074
2.59084,2.911552,12.27338
2.863736,3.153357,12.08836
3.039529,3.235126,11.9009
3.121466,3.271851,11.82397
3.130886,3.267609,11.87974
3.064619,3.216228,11.92793
2.924486,3.026953,11.98046
2.7396,2.835657,12.00473
2.625036,2.589993,12.00665
2.475174,2.544165,11.95142
2.33345,2.495905,11.76556
2.187563,2.531374,11.5188
2.065569,2.487473,11.34048
1.999933,2.489347,11.191
2.030875,2.574348,11.18591
1.963203,2.491953,11.14928
1.873152,2.524944,11.18441
1.838674,2.398224,11.28206
1.825872,2.250183,11.28406
1.817186,2.202217,11.21849
1.836123,2.111071,11.04679
1.793012,2.068045,10.81692
1.7825,2.009453,10.56207
1.9249,1.988514,10.30228
1.99916,1.914814,10.19417
1.891687,1.8351,10.12638
1.915131,1.850426,10.07772
1.946418,1.772797,10.11077
1.912895,1.804705,10.12775
1.767415,1.730927,10.1097
1.615232,1.68848,10.03768
1.468264,1.64859,9.900761
1.344907,1.695814,9.828693
1.179396,1.674492,9.648472
0.9495754,1.516113,9.554268
0.7550297,1.532045,9.436481
0.6816721,1.654171,9.390125
0.6357079,1.808218,9.346516
0.4503126,1.86025,9.364826
0.3876772,1.810532,9.318134
0.4675207,1.64864,9.318298
0.4860306,1.467518,9.246235
0.439743,1.41556,9.162445
0.3697405,1.260714,8.917511
0.323391,1.043152,8.5984
0.3896036,0.9670715,8.264153
0.5059566,1.046448,8.11879
0.4813251,1.130686,7.965843
0.4162445,1.125149,7.967579
0.5166035,1.076792,7.890568
0.5475368,1.034029,7.943272
0.434536,1.012093,7.982868
0.3445463,0.9963589,7.953777
0.2284632,1.022791,7.94775
0.1239691,0.9416637,7.870529
0.05033875,0.8841724,8.006786
0,0.9426537,8.006348
0.02062321,0.9019051,8.183495
0,0.9389076,8.30719
0.06807852,1.079113,8.311352
0.017869,1.073135,8.403763
0.06506681,1.029905,8.415165
0.05646276,0.9237461,8.354813
0,0.9353867,8.22187
0,0.9000874,7.937138
0,0.8405647,7.60022
0.09297991,0.8526955,7.18539
0.08575058,0.8082447,6.991615
0.09558344,0.9267979,6.643433
0.292304,0.9833546,6.519863
0.261899,0.8216114,6.49353
0.34232,0.7405262,6.484711
0.1876287,0.6284981,6.434132
0.013515,0.6147118,6.425411
0,0.6980019,6.358994
0.006629467,0.743309,6.293728
0,0.8236122,6.288433
0,0.8795891,6.22757
0.1435337,0.9110641,6.079678
0.2025676,1.01096,5.945633
0.1801243,1.049419,5.778271
0.1113133,1.119198,5.60952
0.0226512,0.9782486,5.504139
0.05610228,0.9588432,5.566101
0.02582645,1.024929,5.473999
0,0.9993057,5.450569
0,0.8597412,5.404037
0,0.823267,5.40453
0.09205103,0.8092365,5.292061
0.1314468,0.8009758,5.166275
0.2690439,0.7736073,5.107727
0.2967463,0.6813755,5.135376
0.3786311,0.4454231,5.105927
0.5295024,0.3459053,5.234245
0.49472,0.2452221,5.147766
0.4089923,0.1700592,5.120518
0.4777865,0.09884453,5.180489
0.3568201,0.2375832,5.161613
