EL1: Electronic Ladder,A1: 4Wk_frozen,B1: 8Wk_frozen,C1: 12Wk_frozen,D1: 16Wk_frozen,E1: 20Wk_frozen,F1: 24Wk_frozen,G1: 36Wk_frozen,H1: 48Wk_frozen,A2: 60Wk_frozen
175.4089,0.1557062,0.03109932,0.2163172,0.190465,0,0,0.0856204,0.006365299,0
169.8648,0.09071422,0.02626228,0.2221327,0.1203175,0,0,0.1192217,0.1065784,0
163.6694,0.02616644,0.01173401,0.1889944,0.1003947,0.02999878,0.1441722,0.1159487,0.1725268,0.01829815
156.3133,0.07903695,0.03686428,0.1602588,0.03372383,0.07551336,0.09858847,0.1623316,0.2838645,0.01431942
148.2467,0.07509422,0.01101065,0.1377659,0,0.09404707,0.09682083,0.07981968,0.2478313,0.1622
139.6879,0,0.03702784,0.0585351,0,0.05064058,0.1728196,0,0.2202711,0.3311381
131.4263,0,0.01185036,0,0,0.07714462,0.01887989,0,0.2364144,0.3133965
122.399,0.07364225,0,0,0,0,0.04683161,0,0.09866524,0.3226252
113.4277,0,0,0,0.0294137,0.03480482,0.006214619,0,0.04804182,0.2999473
104.7552,0,0,0,0.1054015,0.002375603,0,0.09234905,0.02454376,0.2536011
96.02428,0,0,0.00787878,0.1112785,0,0,0.1293216,0.06789398,0.2162104
87.56607,0,0,0,0.1090479,0,0,0.06323624,0,0.2387495
79.93262,0,0,0,0.04191446,0.02757597,0,0.1417913,0,0.1645517
72.51277,0.02996492,0,0,0.08436298,0,0.0218668,0.1816311,0.108964,0.2324853
65.42696,0.05274343,0.02492714,0,0.07389593,0,0.01648426,0.05642653,0.1865916,0.3092923
58.7887,0.07826424,0,0,0.08007479,0,0.09662199,0.005784512,0.1945219,0.3477283
53.03083,0.04530096,0,0,0.1194129,0,0,0,0.1953793,0.3370299
47.41869,0.06207609,0.01189566,0,0.1101365,0.05275583,0.01501894,0,0.1236687,0.3306789
42.51573,0,0,0,0.1373296,0.0559516,0,0,0.09858418,0.2965889
38.00323,0,0,0,0.1500211,0,0,0,0.04286194,0.1675448
34.11943,0,0,0,0.08396912,0,0,0,0.04477358,0.0702076
30.83343,0.02618361,0.03161001,0,0.1195345,0,0,0,0.005953789,0.06455994
28.08009,0.02920055,0,0,0.09905624,0,0,0.01749754,0.002417088,0.004160881
25.57552,0.03288364,0,0,0.06921101,0,0,0.05080366,0.04247141,0.007740021
23.51604,0,0,0,0,0,0,0.04756546,0,0
21.80286,0,0,0,0.03041124,0,0.01620865,0.0754509,0.02528763,0
20.47512,0,0,0,0.06030703,0,0,0.04461622,0.05266047,0.1023068
19.14278,0,0,0,0.2144055,0,0.03824425,0.09843063,0.05666733,0.314095
18.04222,0,0,0,0.2460523,0,0.02302837,0.07059383,0.05624008,0.3517175
16.84309,0,0,0,0.3115125,0,0.0291357,0.03467321,0.03062296,0.2427006
16.03548,0,0.04624891,0,0.2977419,0,0,0,0.07322693,0.1712823
15.28468,0,0,0,0.356741,0,0.0322876,0,0.09777021,0.1808147
14.43121,0,0,0,0.3029075,0,0.09467506,0,0.05054188,0.1200519
13.87171,0,0,0,0.1454592,0,0.1221018,0,0.06305456,0.04249191
13.48894,0,0,0,0.04471302,0,0.161314,0,0.07903767,0
13.46001,0,0,0,0.08477974,0,0.03762627,0,0.2219696,0
13.14586,0,0,2.047058,0,0,0,0,0.1963153,0.02415848
12.79887,0,0,7.063208,0,0,0,0,0.1963158,0.1620283
12.60898,0,0,13.67159,0,0,0,0,0.1846108,0.1942024
12.22836,0,0,22.20272,0,0,0,0,0.1620154,0.1281238
11.97549,0,0,32.91272,0,0.9925442,0,0,0.157712,0.01211071
11.68075,0,0,46.24632,0,2.483562,0,0,0.1397605,0
11.16488,0,0,62.03185,0,4.112059,0,0,0.09165144,0
10.84782,0,0,80.39748,0,5.924406,0,0,0.03059816,0.01345587
10.45394,0,0,101.1022,0,7.709566,0,0,0.03100061,0
10.1925,0,0,124.6679,0.05388594,9.667459,0,0,0.08589649,0.09747171
9.845958,0,0,150.5056,0,11.74005,0,0,0.009334564,0.1556549
9.430903,0,0,177.538,0,13.93799,0,0,0,0.2020659
9.227633,0,0,206.1828,0,16.09187,0,0,0.05194569,0.2051744
8.951421,0,0,234.7675,0,18.46098,0,0,0.04644728,0.106245
8.649407,0.7066956,0,263.773,0.008363247,20.76209,0,0,0,0.06867123
8.43328,2.761776,0,292.0604,0,23.16948,0,0,0,0.05224371
8.136649,4.871767,0,315.0652,0,25.66996,0.02667046,0,0,0
7.748421,7.072382,0.4030561,333.373,0,28.34603,0,0.04628372,0,0
7.452363,9.4988,2.828106,348.4526,0,31.10205,0,1.546198,0.08836985,0
7.086936,11.90567,6.186743,358.306,0.07399607,34.03054,0,3.321196,0.04217577,0
6.854991,14.51711,10.70004,363.0939,0.1363664,37.06641,0,5.308516,0.01128531,0
6.527324,17.01752,16.72473,362.3038,0.1475782,40.34979,0,7.474323,0,0
6.17592,19.97278,24.38884,357.3289,0.1238484,43.56538,0,9.86606,0.02487421,0
5.929846,23.20869,34.24266,347.4613,0.1350021,47.04162,0,12.40047,0.01086426,0
