EL1: Electronic Ladder,A1: OC_ReSeq_2_Pool_Redo
236.049,0
258.1367,0.1225019
269.9363,0.05418968
271.6801,0.171639
265.2471,0.1782851
251.0234,0.2428579
232.5069,0.3718381
211.3293,0.5371208
189.0096,0.4333711
165.9248,0.454102
144.3137,0.3561325
122.5521,0.5195608
102.6863,0.5727839
84.58612,0.7456193
69.73661,0.7809091
57.41066,0.8733897
47.78677,0.9076996
39.73483,0.8846946
33.46834,0.7546725
28.07737,0.6267862
24.34767,0.293448
21.24854,0.3198495
19.70342,0.2425957
18.05856,0.1936507
17.3742,0.1871071
17.10447,0.2797494
16.87415,0.3987398
16.62842,0.4151568
16.27719,0.4457426
15.87461,0.485774
15.58484,0.4864655
14.8183,0.5995493
14.49555,0.6443572
14.022,0.6053128
13.89807,0.6174235
13.84298,0.6710968
13.63364,0.7372184
13.18528,0.7169924
12.46854,0.7282224
12.5669,0.824379
12.31839,0.9758859
11.96701,1.035857
12.09566,1.140585
12.09524,1.169979
12.20746,1.163883
12.78408,1.13877
12.96241,1.06528
13.08512,1.0086
13.25669,1.039135
14.03203,1.104707
14.03405,1.172464
14.43759,1.331272
14.66615,1.539765
14.71978,1.678617
15.49541,1.669599
18.41277,1.801004
23.87344,1.842919
34.99943,1.970538
51.8404,2.047268
75.84038,1.918425
106.3626,1.940445
142.9881,2.028367
181.5133,2.144553
216.3792,2.055571
244.8596,1.882688
263.2497,1.931349
269.6844,1.856978
266.9985,1.896243
256.5826,1.948912
240.8454,1.927284
223.394,2.271615
205.2799,2.505236
187.4376,2.825124
169.2301,2.960738
151.5814,3.182034
134.1686,3.450047
116.8335,3.726762
102.0236,4.107401
88.11013,4.547925
75.81126,4.986281
65.43404,5.510436
56.07969,5.955441
48.42772,6.396779
42.62057,6.735056
37.17495,7.171416
33.02594,7.49098
29.57038,7.60228
26.88377,7.66095
23.80276,7.684641
21.92431,7.624412
19.9665,7.625375
18.32395,7.62266
17.34866,7.523809
16.85033,7.325366
15.91939,7.273341
15.23129,7.639415
14.96616,9.413654
15.32696,14.60194
15.85263,23.90077
16.33807,38.94666
16.92341,59.88335
18.24607,84.51254
22.18684,109.8899
29.08443,132.4988
40.88678,148.8156
58.47227,156.9652
82.7768,156.1562
112.4324,147.9465
144.4083,133.6253
174.7904,116.2748
199.3645,98.30244
215.4236,80.79401
221.1259,64.82131
216.721,50.90986
206.1749,39.26982
191.7024,30.20549
176.6952,23.14798
161.9839,18.16904
148.1963,14.42997
134.7816,11.44376
122.0472,9.2913
109.8353,7.601901
97.1458,6.282701
85.53781,5.224687
75.50529,4.530623
66.30345,4.178061
58.03069,3.938738
50.44992,3.508216
42.74903,3.277511
35.59424,2.934456
29.64711,2.797676
24.87937,2.736063
20.70146,2.70488
18.10255,2.72902
15.42518,2.689386
13.21561,2.689103
11.18058,2.686343
9.849313,2.412682
8.735128,2.497613
8.031873,2.388989
7.346907,2.332839
7.115476,2.257336
6.665717,2.209269
6.773008,2.23768
6.060439,2.264192
5.821669,2.223069
4.927071,2.43118
4.324223,2.4841
4.164793,2.501521
3.955535,2.495824
3.684574,2.337439
3.641734,2.253949
3.464378,1.981559
3.718801,1.624008
3.178371,1.356057
3.335391,1.220932
3.026005,1.372103
2.83877,1.301013
2.744028,1.164508
