A1: Ladder,B1: PHDIP1072-11,C1: StPaul1919_1,D1: Oahu1950_1_mel,E1: Oahu1950_2_mel,F1: Honolulu1951_mel,G1: Kauai1954_mel,H1: Oahu1960_sim,A2: Kilaueau1953_sim,B2: Kauai_1952_sim,C2: Maui1958_sim,D2: Oahu1965_sim
0.695153,21.12702,60.73991,29.85058,82.6201,7.577119,14.3134,0.3234363,76.43507,78.70784,25.3633,0.1584816
0.8546538,22.56587,64.25677,34.54589,89.96498,9.323681,17.24309,0.3074307,83.79603,83.19134,29.30532,0.1828303
1.279729,23.8898,67.67162,39.77234,97.21425,11.3684,20.39839,0.2858348,91.30835,87.50154,33.6498,0.332437
1.716948,25.23747,70.90857,45.40941,104.4902,13.69455,23.96238,0.3213367,98.83932,91.7421,38.41975,0.4491553
2.294673,26.48322,74.10774,51.56042,111.7861,16.4286,27.83905,0.3435721,106.6087,95.88073,43.25878,0.5191317
2.962885,27.76777,77.16942,58.14516,119.3023,19.36739,32.005,0.4297915,114.4968,100.1217,48.46764,0.5132656
3.691226,28.96947,79.9578,64.89597,126.5648,22.65006,36.34154,0.4785609,122.1963,104.3528,53.79132,0.4529152
4.635386,30.09748,82.46733,71.86256,133.8299,26.15694,40.78638,0.6091838,130.1344,108.4545,59.34654,0.5163379
5.811815,31.1931,84.72231,79.15456,140.7741,29.90172,45.73026,0.7281685,138.1721,112.2324,65.26044,0.6785674
7.366757,32.12425,86.66576,86.65574,147.4595,33.84624,50.94552,0.831336,145.6576,115.9546,71.1724,0.7888479
9.09547,33.093,88.4995,94.29598,154.0218,37.73834,56.28294,0.8458495,153.3605,119.5525,77.2773,1.017194
11.07197,33.90018,89.98352,102.0557,160.027,41.97277,61.85069,1.191701,161.1859,122.8027,83.37392,1.194242
13.42549,34.56692,91.07332,109.9803,165.6915,46.16842,67.31465,1.475477,168.6424,125.7871,89.59411,1.495163
16.05471,35.18988,91.68685,117.8694,171.1778,50.60823,73.13325,1.854846,176.0099,128.5872,95.98996,1.763786
18.94553,35.4417,92.10112,125.9527,176.3541,55.33091,78.96194,2.244467,182.6043,131.1423,102.1762,2.306223
21.98294,35.6149,92.20576,133.9637,181.2357,59.82473,84.81059,2.961084,188.7221,133.5333,108.418,2.818574
25.16845,35.56013,91.69537,141.6681,185.2772,64.29752,90.71755,3.888074,194.576,135.3047,114.5876,3.392607
28.80294,35.29134,90.64078,149.3491,189.1483,68.68733,96.70023,4.868963,199.9251,136.6505,120.8186,4.202992
32.71841,34.80356,89.11131,157.0442,192.5183,73.2505,102.9115,6.025462,204.962,137.4219,127.028,5.252846
36.88619,34.14031,87.20382,164.7123,194.6898,77.37589,109.2097,7.537543,208.7962,137.7714,132.9771,6.443532
41.02323,33.2027,84.80644,172.1403,196.0028,81.58169,115.1569,9.438783,212.3916,137.6719,138.8167,8.067163
45.41628,31.96436,82.02834,179.6459,197.1829,86.17742,120.994,11.64632,215.5997,137.0056,144.7431,9.839882
49.9474,30.64996,78.62729,186.3226,196.877,90.63657,126.3453,14.16563,217.986,135.8306,150.2615,11.81473
54.49516,29.11628,74.88194,192.8282,196.2587,95.27021,131.7218,17.10104,219.6324,133.7755,155.7658,14.11556
59.16405,27.2676,70.99641,199.1549,194.6898,99.7713,137.0395,20.30337,220.4619,131.346,161.3049,16.67932
63.76532,25.52542,66.88348,204.8368,192.5523,103.6707,141.8968,23.95897,220.4111,128.3813,166.3273,19.39052
68.29633,23.69807,62.66628,209.8537,189.6131,107.5503,146.6209,27.89698,219.9694,124.866,171.4038,22.36732
72.97266,21.84535,58.4943,214.8688,186.6302,111.5257,151.281,32.09095,218.5202,120.8596,176.0031,25.72848
77.58813,20.07957,54.32895,219.7746,183.2675,115.3601,155.9364,36.661,216.4106,116.1193,180.07,29.24407
82.10316,18.48978,50.15643,224.5289,178.6913,118.9712,160.7039,41.66859,212.8296,111.1355,184.0243,33.17621
86.38457,16.82119,46.00163,228.4827,173.7024,122.7181,165.0671,47.10377,208.7138,106.0614,187.4279,37.55449
90.56078,15.14423,42.1212,232.2843,168.8363,126.5195,169.1889,52.8521,203.711,100.6319,190.6736,42.12056
94.31947,13.67852,38.30429,235.318,162.6767,130.3218,173.0825,59.07784,198.208,95.12852,193.6281,46.72309
97.69446,12.31682,34.66213,236.9984,155.9118,133.6198,176.6253,65.52215,191.6457,89.01087,195.715,51.46948
100.8862,11.01614,31.22991,237.9793,148.3546,136.6455,179.4684,72.35567,185.1369,83.14376,197.4031,56.05373
103.4294,9.856482,28.007,237.7997,140.711,139.376,181.6888,79.81568,178.0681,77.21536,198.4015,60.62167
105.3507,8.717749,25.22659,236.6108,132.518,142.1523,183.2838,87.48084,170.6356,71.42798,198.98,65.1649
106.8229,7.773413,22.73921,235.2686,124.4733,144.7279,184.3493,95.35563,162.8309,65.62075,198.5466,69.9474
107.8573,7.006724,20.61164,233.0024,116.4778,146.8849,184.8096,103.4394,154.3827,59.86064,197.3364,74.72772
108.368,6.333095,18.60379,229.8421,108.5047,148.8231,185.1299,111.979,145.5548,54.44311,195.8222,79.80863
108.0207,5.790126,16.7443,225.6247,100.6372,150.2364,184.6223,120.5036,136.5051,49.43139,193.8306,85.13885
106.8038,5.278634,15.32398,220.6731,93.06488,151.8164,183.3385,129.151,127.4138,44.59994,191.1622,90.3364
