EL1: Electronic Ladder,A1: 4WkDry_F_2,B1: 4Wk_Dry_F_3,C1: 8WkDry_F_2,D1: 8WkDry_F_3,E1: 12WkDry_F_2,F1: 12WkDry_F_3,G1: 16WkDry_F_2,H1: 16WkDry_F_3,A2: 20WkDry_F_2,B2: 20WkDry_F_3,C2: 24WkDry_F_2,D2: 24WkDry_F_3,E2: 36WkDry_F_2,F2: 36WkDry_F_3,G2: 48WkDry_F_2,H2: 48WkDry_F_3
172.4071,0,0,14.37765,0,0,0.02059031,0,0.001309395,0.01343155,0,0,0.2104778,0.2569423,0.01846552,0.1022806,0.150558
177.1938,0,0,14.36569,0,0,0.1190519,0,0,0.003309727,0.01251316,0,0.1560397,0.3294897,0.03563929,0.07786512,0.1684446
180.721,0,0,14.45744,0,0,0.1390224,0,0.02607346,0.01631069,0.07330179,0.06945658,0.151495,0.2905164,0.1025577,0.06277657,0.149528
182.7976,0,0,14.53132,0,0.08448172,0.1447802,0,0.1253438,0.06209946,0.04976797,0.09737349,0.1587577,0.2317352,0.159915,0.07135105,0.1370478
184.0034,0,0,14.618,0,0.1705589,0.1266732,0,0.272644,0.06850004,0.06232977,0.2061496,0.1631312,0.168901,0.2073269,0.1899323,0.1062565
183.7612,0.1113529,0,14.7832,0,0.2599812,0.06975603,0.8397608,0.3130951,0,0.1347203,0.1571879,0.2111568,0.1910505,0.2637019,0.2455578,0.05340481
182.0963,0.1435561,0,14.97581,0.02101231,0.2573547,0.04179144,1.856774,0.2800136,0.003694534,0.1189461,0.1123056,0.1976042,0.08426809,0.3498082,0.3188171,0
179.2551,0.06304026,0,15.09623,0,0.2423463,0.02509165,3.262591,0.2952342,0,0.1365938,0.07609892,0.2688832,0.0591054,0.3211737,0.3814187,0
175.4089,0,0,15.22925,0,0.2707767,0.01406002,5.365566,0.2107778,0,0.1220784,0.05654669,0.2660041,0.0368495,0.2056952,0.3905201,0.008357525
169.8648,0,0,15.37754,0,0.1663804,0,8.177792,0.2443953,0,0.06638002,0.0275054,0.2719712,0,0.02696562,0.326973,0.005066395
163.6694,0,0,15.55651,0,0.1346784,0.01154375,11.8684,0.2809591,0,0.1439571,0,0.2716765,0.003397942,0.02338886,0.217936,0
156.3133,0.08278751,0,15.70472,0,0.05396032,0.1052256,16.82193,0.2011538,0,0.2541313,0,0.1950192,0.008194923,0.007911205,0.1401105,0
148.2467,0.04803228,0,15.92725,0,0,0.1120729,23.1507,0.1840034,0,0.3447027,0,0.2882638,0.04125547,0.05465317,0.1019006,0
139.6879,0,0,16.16511,0,0,0.1109552,31.28867,0.2420883,0,0.3743439,0,0.3646007,0.1550045,0.08139515,0,0
131.4263,0,0,16.2958,0,0,0.07552338,41.22946,0.3038826,0,0.3852973,0.02316618,0.3708854,0.2020154,0.146709,0.1228676,0
122.399,0,0,16.50008,0,0,0.06392574,53.11771,0.2961726,0,0.3660665,0,0.4646368,0.3059921,0.1386828,0.1912975,0
113.4277,0,0,16.60159,0,0,0,67.36087,0.2321706,0.001655579,0.2737994,0.02774858,0.4958372,0.2980542,0.1809959,0.2916355,0
104.7552,0,0,16.65423,0,0,0.02679062,83.78032,0.2014084,0.07581425,0.2785068,0.1007476,0.5083957,0.3047299,0.1301355,0.3055992,0.02711868
