EL1: Electronic Ladder,A1: 40WkFrozen_F_2,B1: 40WkFrozen_F_3,C1: 44WkFrozen_F_2,D1: 44WkFrozen_F_3,E1: 48WkFrozen_F_2,F1: 48WkFrozen_F_3,G1: 52WkFrozen_F_2,H1: 52WkFrozen_F_3,A2: 52WkFrozen_F_3
184.0034,1.926416,3.540755,10.12963,0.08522105,0.2308178,0.1518645,0.07712555,0.04039288,0
183.7612,3.322531,4.568537,10.0648,0.08092928,0.1808748,0.0990839,0.1120563,0,0.03746605
182.0963,4.662722,5.729888,9.955344,0.154685,0.1142669,0.05361748,0.06985331,0.03181553,0.06544876
179.2551,6.302936,7.080019,9.805536,0.2166615,0.05538702,0,0.05082321,0,0.05575991
175.4089,8.159997,8.549009,9.747483,0.3438842,0.04219151,0.03704882,0.06581068,0.1045442,0
169.8648,10.39135,10.21524,9.674306,0.2980082,0.05867147,0.03537178,0.0547328,0.2107582,0
163.6694,12.92868,12.02028,9.605062,0.1738751,0,0.05104637,0,0.2221241,0
156.3133,15.63474,14.04244,9.589657,0.1384349,0,0.01547909,0,0.06967306,0
148.2467,18.59066,16.41945,9.549306,0.1143847,0,0.02773809,0.07704067,0,0.0506587
139.6879,21.93845,19.03269,9.555888,0.0424602,0,0,0.07375431,0.03823137,0
131.4263,25.55235,21.71572,9.501779,0.0316956,0.02411747,0,0,0,0.1398983
122.399,29.46107,24.7264,9.445626,0.06415892,0,0,0.02295017,0,0.2327204
113.4277,33.64656,27.96785,9.308103,0.08168745,0.01623964,0,0,0,0.1399498
104.7552,38.3117,31.57372,9.258228,0.06915975,0,0,0,0,0.05803061
96.02428,43.39138,35.33223,9.242166,0.104887,0,0,0,0.02397346,0.09083652
87.56607,49.01534,39.36294,9.147,0.02305841,0,0,0,0.1460071,0.1378808
79.93262,55.11244,43.84644,9.020517,0,0,0,0,0.2659578,0.1018519
72.51277,61.6058,48.41404,8.93493,0,0,0,0,0.2468176,0.03417063
65.42696,68.23933,53.26849,8.876225,0,0,0,0.007884502,0.2824588,0.03323603
58.7887,75.23861,58.17579,8.933355,0.04446244,0,0,0.03216267,0.2935157,0
53.03083,82.40502,63.12875,8.967839,0.08407164,0,0,0,0.2757182,0
47.41869,89.40096,68.05729,8.896399,0.09521651,0,0,0,0.2532578,0.003261566
42.51573,96.4464,72.80084,8.719346,0.0497005,0,0,0,0.1886148,0.03458071
38.00323,103.1202,77.27444,8.64685,0,0,0,0,0.01512861,0.008180141
34.11943,109.2394,81.32168,8.670532,0.03013611,0,0,0,0,0
30.83343,114.7071,84.90936,8.609461,0,0,0,0,0,0
28.08009,119.3461,87.92349,8.573342,0,0,0,0,0.01564455,0
25.57552,122.7812,89.9014,8.495529,0,0,0,0,0.04749346,0
23.51604,124.6043,91.11346,8.484835,0,0,0,0,0.1076989,0
21.80286,124.9691,91.14832,8.445797,0.02427411,0,0,0,0.1093445,0.01404524
20.47512,123.7501,90.13243,8.340707,0,0,0,0,0.08460093,0
19.14278,120.8416,88.03983,8.178613,0.01715755,0,0,0,0.1185679,0.04139137
18.04222,116.6654,85.08996,8.07946,0,0,0,0,0.07282162,0.07394743
16.84309,111.0573,81.40162,8.084826,0,0,0,0,0,0.0477066
16.03548,104.3023,77.08457,8.161852,0,0,0,0,0,0
15.28468,96.97644,72.33157,8.130652,0,0,0,0,0.01628685,0
14.43121,89.20422,67.35789,8.155872,0,0,1.215101,0,0,0
13.87171,81.28653,62.29588,8.074726,0,0,2.455202,0,0,0
13.48894,73.55337,57.33993,8.049203,0,0,3.811865,0,0,0.03594065
13.46001,66.1163,52.55613,7.893089,0,0,5.330719,0,0,0.09106302
13.14586,59.56639,48.36251,7.789418,0,0,6.736385,0,0,0
12.79887,53.78001,44.66418,7.718033,0,0,8.207846,0.4523487,0.02640963,0
12.60898,48.9995,41.54776,7.716508,0,0,9.777782,1.176248,0,0.007124901
12.22836,45.00255,38.97399,7.740433,0,0,11.41681,1.796295,0,0
11.97549,41.79442,36.84095,7.684838,0,0,13.11539,2.526038,0,0
11.68075,39.45461,35.23111,7.605296,0,0,14.85808,3.3122,0,0
11.16488,37.58097,33.92892,7.597468,0,0,16.71109,4.320317,0,0
10.84782,36.13571,32.94855,7.52987,0,0,18.65987,5.453122,0,0
10.45394,35.18571,32.31892,7.449449,0,0,20.76359,6.579555,0.02870178,0.005793571
10.1925,34.53386,31.95701,7.411488,0,0.3212795,23.06469,7.713943,0.1030121,0.02935696
9.845958,34.25373,31.93336,7.395925,0,1.51911,25.45979,8.882195,0.04139471,0
9.430903,34.2343,32.09444,7.383214,0,2.81357,28.00898,10.09643,0.05490732,0.02072573
9.227633,34.56538,32.5359,7.463856,0,4.259127,30.7647,11.42333,0,0.06506872
8.951421,35.13896,33.20033,7.554564,0,5.643581,33.74297,12.73673,0,0
8.649407,35.95963,34.1692,7.61777,0,7.154119,36.82788,14.22372,0,0
8.43328,36.93935,35.40761,7.646291,0,8.827848,40.00408,15.86164,0,0
8.136649,38.21167,36.82465,7.662663,0,10.59675,43.55138,17.60963,0,0
7.748421,39.66569,38.67695,7.66655,0,12.49189,47.38652,19.25647,0,0
7.452363,41.39592,40.82127,7.599377,0,14.52686,51.50938,21.00006,0,0
7.086936,43.39968,43.04712,7.537871,0,16.64803,55.97773,22.63678,0,0
6.854991,45.59948,45.68816,7.416322,0,18.81757,60.75949,24.42201,0,0
6.527324,48.25169,48.78953,7.331749,0,21.21375,65.75664,26.45955,0,0.05536842
6.17592,51.04284,52.10912,7.325537,0.1843491,23.93247,71.1673,28.50654,0,0.04066372
5.929846,54.09483,55.66433,7.254135,1.801657,26.75309,76.8495,30.64598,0,0
5.731161,57.41348,59.60056,7.191806,3.566189,29.87783,82.75536,33.13992,0,0
5.530811,60.88609,63.77861,7.190535,5.32345,33.20718,88.79976,35.78486,0,0
5.314283,64.58282,68.01936,7.263356,7.116278,36.82535,94.99773,38.58804,0,0
5.039759,68.24214,72.54895,7.363903,9.146784,40.60866,101.1909,41.59281,0.2005062,0
4.879637,71.84137,76.96672,7.412599,11.19957,44.65808,107.1715,44.88755,0.9612885,0
