EL1: Electronic Ladder,A1: Fresh_M,B1: Fresh_F
42.04552,18.22771,137.7189
42.30717,17.86783,131.3645
42.51877,17.54161,123.6127
43.29195,17.37106,114.8331
44.16927,17.18323,105.8007
44.80107,16.90714,97.00743
45.88068,16.66397,88.4621
47.22343,16.45706,81.02643
48.34975,16.17517,74.36566
49.37782,15.90738,68.64197
50.39648,15.72828,63.69305
51.83561,15.54586,59.62674
52.99356,15.48444,56.107
54.57263,15.41305,53.11922
56.20294,15.40442,50.49231
58.65975,15.30853,48.21553
61.24603,15.16101,46.12079
64.48589,15.17597,44.28574
69.39481,15.05129,42.66259
75.40455,15.08394,41.22048
82.90659,14.93217,39.9908
92.90875,14.84632,38.91652
105.8389,14.77955,37.85007
124.8385,14.52668,36.90982
152.2131,14.51303,36.07298
188.503,14.52777,35.61127
233.4973,14.40756,35.21004
286.0728,14.44321,34.8222
339.0046,14.32028,34.63659
386.9084,14.43135,34.54397
424.165,14.27531,34.53878
445.8756,14.30596,34.27295
450.1462,14.25966,33.96846
438.2472,14.10594,33.66273
412.7982,14.04622,33.30684
377.4191,14.05881,33.06076
337.5124,14.00557,32.87787
295.9637,14.05045,32.64036
253.5426,13.99856,32.42316
215.4013,14.01327,32.32438
181.458,13.87148,31.99819
152.4125,13.76184,31.56456
128.6558,13.63297,31.23342
109.6806,13.40827,30.95285
94.68867,13.18058,30.56309
83.35398,13.04803,30.25027
74.50935,12.98985,30.13749
67.80062,13.03711,30.00047
62.52628,12.93182,29.83355
59.22767,12.78257,29.68963
56.75893,12.67455,29.37747
55.00687,12.42336,28.9235
53.52545,12.34958,28.57906
52.47616,12.21175,28.24231
51.44522,12.17128,27.94258
50.72421,12.07783,27.43256
49.92419,12.13792,26.96475
49.17576,12.10877,26.47187
48.30043,12.09101,26.10349
48.00196,12.05839,25.82776
47.61724,12.03357,25.5419
47.07895,11.93264,25.37497
46.92889,11.95828,25.37852
46.89749,11.86163,25.50763
46.92075,11.90208,25.86654
47.17645,11.81644,26.18148
47.48476,11.73089,26.36636
47.87957,11.58624,26.65294
48.47378,11.55288,26.92508
49.55062,11.46281,27.16719
50.41106,11.35323,27.23569
51.42236,11.36353,27.41623
52.67937,11.28509,27.28961
53.67337,11.21327,27.13007
54.70521,11.26111,26.85609
55.93967,11.21458,26.57607
57.09141,11.03179,26.0932
58.44881,10.96761,25.76892
60.30965,10.94166,25.31413
62.52384,10.94186,25.01135
64.87007,10.92859,24.699
67.41753,10.98264,24.49271
69.9974,11.07293,24.18458
72.6283,11.13894,23.99429
74.83287,11.2329,23.82109
76.90598,11.22576,23.66401
78.17733,11.10361,23.5014
79.09708,11.11843,23.39529
79.85885,11.20068,23.18919
80.00867,11.13358,23.0657
80.23985,11.10904,22.8406
79.97934,11.106,22.61778
80.12814,11.22828,22.45998
80.21479,11.19226,22.40646
80.91386,11.2943,22.27052
81.86594,11.37667,22.0448
83.06207,11.40004,21.87639
85.35784,11.51879,21.67403
88.39478,11.56744,21.44256
92.76147,11.48524,21.17761
100.2734,11.4888,20.82199
111.2732,11.43759,20.58884
129.5123,11.34504,20.39049
159.4942,11.28879,20.25283
202.4525,11.33719,19.94963
258.2606,11.33703,19.73829
319.0791,11.37986,19.61064
380.6234,11.49674,19.42804
434.3946,11.63734,19.24126
474.1948,11.69258,18.99924
496.6637,11.76441,18.83309
499.2065,11.78203,18.71899
485.083,11.69979,18.70608
460.3896,11.63525,18.66164
427.2648,11.71105,18.58083
391.7967,11.76717,18.57853
351.8622,11.80722,18.61978
313.5379,11.85134,18.60542
275.9799,11.99842,18.63064
241.4358,12.11137,18.6869
210.9331,12.18081,18.74771
184.3872,12.26936,18.71029
161.9705,12.28872,18.7752
