EL1: Electronic Ladder,A1: 4WkFrozen,B1: 8WkFrozen,C1: 12WkFrozen,D1: 16WkFrozen,E1: 20WkFrozen,F1: 24WkFrozen,G1: 28WkFrozen,H1: 32WkFrozen,A2: 36WkFrozen,B2: 40WkFrozen,C2: 44WkFrozen,D2: 48WkFrozen,E2: 52WkFrozen
11.38547,0.1614137,0.1937995,0.07841301,0,0.08990192,0.09250259,0.4754639,0.4492793,0,0,0.298563,0.1515479,0.08584404
14.12005,0.1691074,0.2057056,0.03324842,0.02941227,0,0.05469131,0.2919626,0.3619766,0.06688881,0,0.3534226,0.09679985,0.09669256
17.26014,0.1062851,0,0.09492826,0.1088157,0,0.0480299,0.2283645,0.3414431,0.144218,0,0.332664,0,0.2139511
20.97051,0,0.008661747,0.1400008,0.05128288,0,0.06942987,0.03602886,0.3589673,0.150331,0,0.2541432,0,0.2578764
25.3254,0,0,0.1545849,0,0.05362082,0.05235767,0,0.2807803,0.2193956,0.1172147,0.2465839,0,0.2592101
30.42628,0,0,0.1955996,0,0.1214352,0.09813595,0,0.2617393,0.1257749,0.1009459,0.2159591,0.131629,0.3655996
36.0128,0.01136208,0.01012182,0.2478585,0,0.2485757,0.1847992,0,0.1894002,0.1240788,0.0980773,0.2767797,0.2307382,0.3109612
42.3921,0.0440793,0,0.2241087,0,0.3573222,0.1983542,0,0.1959486,0.1427846,0.06899691,0.2333221,0.2908902,0.374033
49.75721,0.1445503,0,0.1398239,0,0.3421054,0.2434716,0.03902197,0.2271371,0.06230783,0.09062862,0.280818,0.2730565,0.2773018
58.11675,0.1350946,0.05393982,0.03988314,0.01478958,0.3375821,0.270751,0.188602,0.2310209,0.05331135,0.1062107,0.343689,0.3309398,0.2181993
67.09781,0.08067131,0.01536703,0.02256727,0,0.2635765,0.1934838,0.1978793,0.2248559,0.04362154,0.1807799,0.4091363,0.3020372,0.1422687
76.59318,0.03886127,0.05036306,0,0,0.1896539,0.2169313,0.2082148,0.199451,0.118022,0.1995845,0.4435005,0.3200479,0.1322036
86.53235,0,0,0,0.02089071,0.18188,0.1871858,0.2478199,0.2059031,0.1713467,0.1505995,0.380558,0.3402543,0.1013279
96.71154,0,0.003994942,0.01062489,0,0.09670877,0.15342,0.1750422,0.2550955,0.1324706,0.07358599,0.3708181,0.3496346,0.00268364
107.3292,0,0,0,0.002292156,0.02974415,0,0.162147,0.243639,0.1340122,0.129508,0.3718023,0.3635478,0.04318428
118.0085,0.008458138,0.001280308,0,0.01832104,0,0,0.1348352,0.2026892,0.1112041,0.02293634,0.383759,0.4379663,0.1054964
128.5506,0.1597314,0,0.1110344,0.0131979,0.04123354,0,0.1494784,0.1721668,0.0730176,0.005462646,0.4299736,0.2457886,0.07922649
138.9781,0.1901412,0,0.177268,0,0.09740782,0,0.2377663,0.192955,0.004891396,0,0.347405,0.1580501,0.05116749
148.6813,0.2354918,0,0.1812487,0,0.1339808,0,0.2118993,0.1597781,0,0,0.3752923,0.1489983,0.01343775
158.0438,0.165051,0,0.188746,0.06869841,0.1965022,0.06549168,0.2955823,0.16505,0,0,0.3233752,0.1745281,0.02324533
165.8421,0.1443524,0,0.2978759,0.05393124,0.2389064,0.04529715,0.2985253,0.2220955,0,0.03852844,0.2377267,0.1791654,0
172.4071,0.03736877,0.1047583,0.3480453,0.1528468,0.2868958,0.09803295,0.3699961,0.2266459,0.009196281,0.03008604,0.0722394,0.2328362,0
177.1938,0.03746843,0.1220016,0.3323026,0.1803651,0.2649546,0.1356564,0.3889766,0.2243919,0.04587984,0.04445982,0,0.2564583,0
180.721,0,0.1147614,0.2413607,0.1500726,0.1740537,0.05988026,0.3566399,0.2789755,0.07091188,0,0.03720903,0.2513542,0
182.7976,0,0,0.1966929,0.1041212,0.07599926,0.0789175,0.2843533,0.298811,0.1288934,0,0.04953623,0.2229476,0.09052849
184.0034,0.000995636,0.008313179,0.1139522,0.1054182,0.1325974,0.1197648,0.1323848,0.3022914,0.1084065,0,0.09405899,0.1346464,0.1279078
183.7612,0.01525259,0,0.07725477,0.01152086,0.2764869,0.1023245,0.1095209,0.4191365,0.04951763,0.07554102,0.06758976,0.002268791,0.1200962
182.0963,0,0,0.05474567,0,0.2697129,0.1561689,0.07349682,0.3446665,0.02420807,0.2066846,0.05575752,0,0.03409719
179.2551,0,0,0.03508902,0,0.3281107,0.2329326,0.0231514,0.3054805,0,0.2980852,0.1269507,0,0.04954195
175.4089,0,0,0,0.03829098,0.3061075,0.2656636,0.1517591,0.3270106,0,0.1966128,0.03737926,0,0.02500916
169.8648,0.0182395,0,0,0,0.2393603,0.1950064,0.1702528,0.3062177,0.00439167,0.1369424,0.02395916,0.03474951,0
163.6694,0,0,0,0.02814388,0.1716652,0.1646557,0.2563772,0.2829304,0,0.07477665,0,0.1530485,0.1348124
156.3133,0,0,0.02618694,0,0.09774542,0.2036715,0.2884922,0.174746,0,0.03143597,0,0.2069645,0.204917
148.2467,0,0,0.04070902,0,0.03069353,0.1618676,0.2412534,0.08349562,0,0,0.007118225,0.2764325,0.199194
139.6879,0,0,0.1550493,0,0,0.1616406,0.1520042,0,0,0,0.02413797,0.2810054,0.1179209
131.4263,0,0,0.09104013,0.003881931,0,0.08482838,0.1074166,0.02086449,0,0,0.02961445,0.1950808,0.02815962
122.399,0,0,0.08425426,0,0.09932852,0,0.2177572,0.06502533,0.008323193,0,0.05876827,0.1424699,0.04519415
113.4277,0,0.08448124,0.1175318,0,0.09822464,0,0.2797713,0,0.05746698,0.06138182,0.1254177,0,0
104.7552,0,0,0.04057121,0.003862858,0.125598,0,0.2952065,0,0.08659601,0.009335995,0.1922894,0,0.01782465
96.02428,0,0,0,0.04656696,0.07393789,0,0.2534122,0,0.09177113,0,0.1581678,0,0.1310263
87.56607,0,0,0,0,0.02422857,0,0.1453719,0.01672125,0.1094646,0,0.2774248,0.07626724,0.269568
79.93262,0,0,0.02081251,0,0,0,0.1214414,0.1093426,0.04145193,0,0.2973137,0.08325911,0.4776478
72.51277,0,0,0,0,0.06916809,0,0.1042781,0.0713892,0.09716558,0,0.2410007,0.02965975,0.4872713
65.42696,0,0,0.02069998,0,0.1417441,0,0.0644989,0,0.07497549,0.06746578,0.155076,0.06498909,0.424716
58.7887,0,0,0.03087759,0,0.2326303,0.007493496,0,0,0.0873189,0.1792746,0.06218815,0.08214426,0.3197951
53.03083,0,0,0,0,0.2906132,0.03775167,0,0.004524708,0.05690432,0.1688566,0,0.04664516,0.1757956
47.41869,0,0.001083374,0,0,0.3806529,0,0,0.0439415,0,0.1626439,0,0.0115881,0.1144032
42.51573,0,0,0.0531106,0,0.3854299,0,0,0.1095681,0,0.1371837,0,0.006049156,0
38.00323,0,0,0,0,0.3196654,0,0,0.09411097,0,0.05821705,0,0.1123343,0.02791977
34.11943,0,0.1459494,0.05046082,0,0.1952953,0,0.00376749,0.01483059,0,0.06372023,0,0.2140508,0.1574721
30.83343,0,0.3878613,0.1380386,0,0.07818365,0.08639479,0.03426552,0.07193851,0,0,0.0952816,0.2976007,0.2319903
28.08009,0,0.6254148,0.1208577,0,0.02717638,0,0,0.08437204,0,0,0.1241593,0.3028884,0.3270969
25.57552,0,1.010141,0.1499596,0,0,0,0,0.04631567,0.01292181,0,0.08004999,0.3109384,0.3205996
23.51604,0,1.427613,0.1706996,0,0,0,0,0.05471611,0,0,0.08217478,0.2556977,0.3105307
21.80286,0,1.888095,0.1568785,0.02352715,0,0,0,0.1169839,0,0,0.01176023,0.2207723,0.3382807
20.47512,0,2.445965,0.1702352,0,0,0,0,0.1366978,0.0518651,0,0,0.1333733,0.2414308
19.14278,0,3.184147,0.2762709,0.01247072,0,0,0,0.1767497,0.03075027,0,0.008865356,0.024683,0.09691286
18.04222,0,4.059465,0.3500137,0.1557198,0,0,0,0.1689763,0.02730846,0,0,0,0.02735186
16.84309,0,5.445169,0.3514547,0.2541299,0,0,0,0.0824604,0.03571749,0,0,0,0
16.03548,0,7.422522,0.4141493,0.3256741,0,0,0,0.05712271,0,0,0,0,0.02033854
15.28468,0,9.952288,0.4560523,0.4040685,0.005378723,0,0,0.0509038,0.0171175,0,0.04988432,0,0
14.43121,0,13.35743,0.4813352,0.4245124,0.029809,0,0,0.01479721,0.08612728,0,0,0,0
13.87171,0,17.73868,0.5020523,0.4716754,0.08999109,0,0,0,0,0,0,0.02512217,0
13.48894,0.3204117,23.28056,0.4187298,0.6240125,0.1265721,0,0,0.05943155,0,0,0.0151906,0.05009127,0
13.46001,1.411219,30.27247,0.3065128,0.7472501,0.2115479,0,0,0.05716324,0,0,0,0.1067476,0
13.14586,2.43441,38.92502,0.3024201,0.8830266,0.2054305,0,0,0.02124071,0,0,0,0.02197123,0.04643202
12.79887,3.486017,49.47971,0.3624511,1.094803,0.1299343,0,0,0.09182739,0,0,0,0,0
12.60898,4.661705,62.34293,0.3701816,1.382652,0.06430912,0,0,0.1081452,0,0,0,0.05520344,0
12.22836,5.89814,77.64182,0.4115677,1.654692,0.04079533,0,0,0.1401534,0,0,0,0.1940269,0
11.97549,7.171303,94.6496,0.5363445,1.88062,0.02788353,0.01134491,0,0.147368,0,0,0,0.2859159,0
11.68075,8.457071,113.5809,0.6469727,2.016976,0,0.6891775,0,0.1359329,0,0,0,0.3381395,0
11.16488,9.762951,134.9637,0.7535591,2.254496,0,1.333084,0.2085552,0.1346884,0,0.2870216,0,0.3649426,0.02911425
10.84782,11.14321,158.3148,0.8613625,2.549988,0.01808643,1.980624,0.4309244,0.1247883,0,1.117838,0,0.3112226,0.1075754
10.45394,12.40745,183.4353,0.893497,2.991434,0,2.623768,0.7141552,0.1377487,0.1413479,1.99098,0,0.260469,0.1773739
10.1925,13.77602,210.8428,0.9895749,3.441213,0,3.266112,0.8584929,0.1206331,0.4540043,3.166248,0,0.2150388,0.1215029
9.845958,15.21929,238.7373,1.137762,4.09564,0,4.048159,1.144278,0.1324716,0.8143196,4.591616,0,0.1320643,0.08721209
9.430903,16.69219,266.966,1.277584,5.088177,0,4.803308,1.291622,0.1511083,1.299906,6.202381,0,0.1502061,0.01544046
9.227633,18.32247,295.5601,1.390677,6.377184,0,5.637262,1.44873,0.08531904,1.819739,8.026505,0,0.1786528,0
8.951421,19.98343,322.3814,1.486572,8.272812,0,6.603748,1.676198,0.06033897,2.426541,10.20144,0,0.1903811,0
8.649407,21.71714,346.1947,1.55822,10.7695,0,7.510456,1.96409,0,3.107754,12.54683,0,0.2030282,0
8.43328,23.50221,366.179,1.688529,14.06179,0,8.534513,2.353022,0.04036093,4.048301,15.17056,0,0.09841299,0
8.136649,25.36304,382.9201,1.744669,18.52111,0,9.430504,2.745157,0,5.032504,18.15394,0,0.02460194,0
7.748421,27.14633,395.1204,1.909198,24.3397,0,10.35198,3.219539,0,6.153186,21.59705,0,0,0
7.452363,28.90043,402.2851,2.027781,31.82455,0,11.33726,3.744191,0,7.299438,25.21174,0,0.05091572,0.02878809
7.086936,30.81255,403.685,2.21413,41.27359,0,12.34127,4.166747,0,8.762876,29.26461,0,0.2791629,0.04539537
6.854991,32.85142,399.4222,2.395763,53.22836,0,13.36168,4.59478,0,10.40874,33.70833,0,0.4684567,0.01078987
6.527324,35.01274,391.2545,2.792031,67.41219,0,14.43724,4.995733,0,12.21161,38.58263,0,0.7191329,0.007694721
6.17592,37.24738,379.1927,3.145812,84.15407,0,15.61432,5.375021,0,14.20584,43.93699,0,0.8971086,0
5.929846,39.58878,363.117,3.564345,104.2522,0,16.81087,5.891006,0,16.37909,49.75566,0,1.011586,0
5.731161,41.84313,344.4048,4.111221,127.3565,0,18.08139,6.457018,0,18.82476,55.95311,0,0.9678063,0.02685261
5.530811,44.1794,322.8614,4.812045,153.6143,0,19.35122,7.073516,0,21.58152,62.63906,0,0.9272976,0.3427916
5.314283,46.5918,301.1752,5.551594,183.3811,0,20.50238,7.732924,0,24.36668,69.96729,0.2016392,0.8744063,0.6945214
5.039759,49.01759,278.8906,6.528852,215.0778,0,21.65101,8.331016,0,27.34858,77.66673,1.767466,0.9048705,1.002805
4.879637,51.48448,256.6636,7.601077,248.6155,0,22.93088,8.945165,0,30.46109,85.77953,3.371458,0.9650803,1.3719
4.533747,54.13461,234.6049,8.95653,284.263,0,24.07056,9.520896,0,34.03808,94.46681,5.094625,1.048477,1.906358
4.246821,56.7966,214.7795,10.58383,318.8905,0,25.33312,10.08856,0,37.66395,103.5809,6.743639,1.178907,2.57279
3.987095,59.59472,197.4704,12.53049,352.5974,0,26.63658,10.68212,0,41.6044,113.3439,8.486403,1.255152,3.527591
3.707324,62.5316,182.1946,14.71855,386.2533,0,28.03832,11.26159,0,45.76332,123.8372,10.48551,1.310691,4.691979
3.459528,65.38812,169.194,17.20292,416.048,0,29.41115,11.9903,0,50.0854,135.1541,12.4391,1.432225,6.287782
3.27951,68.09903,158.3727,19.93864,443.3946,0,30.93592,12.70557,0,54.75229,147.44,14.57644,1.515832,8.198863
3.214552,70.81808,148.9847,23.04398,465.7733,0,32.50034,13.37436,0,59.67786,160.0602,17.05489,1.676552,10.83322
3.010284,73.60207,141.6233,26.51997,482.4004,0,33.93792,14.05949,0,64.77988,173.7283,19.55903,1.721097,13.96207
3.008267,76.28319,135.6536,30.37926,492.8469,0,35.40781,14.7542,0,70.1915,188.3262,22.40413,1.902359,17.79545
2.798151,78.43346,131.0016,34.67454,496.0588,0,36.93866,15.36339,0,75.82199,203.3269,25.33561,2.049992,22.20608
2.634225,80.34322,127.197,39.4353,493.2739,0,38.45489,16.03853,0,81.78011,219.3527,28.3398,2.194143,27.76162
2.382677,81.77955,124.3657,44.62658,482.688,0,40.18407,16.73644,0,88.00089,235.9767,31.48879,2.541085,34.39215
2.227367,82.70069,122.0383,50.27882,466.4885,0.6500759,41.71945,17.40965,0,94.66893,252.8784,34.71274,2.870268,41.80227
2.095788,83.01816,120.2778,56.54751,446.2983,2.311853,43.4085,18.11481,0,101.462,270.0775,38.10387,3.314656,50.2495
1.843846,82.29821,118.9046,63.04057,421.0637,4.112638,45.12218,18.93127,0,108.8125,287.8642,41.64806,3.913709,60.1752
1.697485,80.66859,117.655,70.10787,394.7692,5.999512,46.96243,19.64736,0,116.5656,304.4703,45.50158,4.559194,71.16211
1.858475,78.15977,116.5419,77.85089,365.8503,8.150852,48.84138,20.40978,0,125.0063,320.9969,49.61611,5.190566,83.47377
