EL1: Electronic Ladder,A1: 4WkFrozen_F_2,B1: 4WkFrozen_F_3,C1: 8WkFrozen_F_2,D1: 8WkFrozen_F_3,E1: 12WkFrozen_F_2,F1: 12WkFrozen_F_3,G1: 16WkFrozen_F_2,H1: 16WkFrozen_F_3,A2: 20WkFrozen_F_2,B2: 20WkFrozen_F_3,C2: 24WkFrozen_F_2,D2: 24WkFrozen_F_3,E2: 28WkFrozen_F_2,F2: 28WkFrozen_F_3,G2: 20WkDry_F_2
0,0.1751792,0.2108891,0.5108733,0.01104355,0.05742121,0,0.4047208,0.1129212,0.3528743,0.2169175,0.1037755,0.2646313,0.09365606,0,0.09082222
0.02638292,0.1014209,0.2507782,0.4898958,0,0.04061365,0,0.3053184,0.008048058,0.2907863,0.2679458,0.0118475,0.2010918,0,0,0.1264923
0.06229401,0.1364648,0.2825942,0.407434,0,0.07065964,0.04620838,0.3037295,0.03890848,0.2763591,0.2794733,0,0.2177067,0.04325438,0,0.1962111
0.04121494,0.001370668,0.2620966,0.3664193,0.01375675,0,0.07348251,0.2508593,0,0.2801127,0.2987266,0.06732321,0.147594,0.002122879,0,0.2151847
0,0,0.2201793,0.301302,0,0,0.04561043,0.1340332,0,0.3383837,0.3626595,0.1178179,0.09556437,0.02286625,0,0.2241707
0,0,0.179368,0.1479225,0.05560064,0,0.009808064,0.1156921,0,0.385951,0.3107243,0.03274298,0.2272973,0.02808905,0,0.2026691
0,0.06052637,0.1671255,0.1097665,0.08829927,0.00865221,0.03898525,0.1993856,0,0.3700914,0.3515921,0.01864147,0.1958542,0.02750969,0,0.2014818
0,0.1474268,0.09989929,0.1619267,0.1092315,0.02074146,0.1073036,0.2509599,0.03835201,0.2443171,0.3240576,0.1446757,0.1920185,0.05213833,0,0.2349789
0,0.2153814,0.1213441,0.2264066,0.1060896,0.07249165,0.1232171,0.2368846,0.07109022,0.1200018,0.2658629,0.2905807,0.1636014,0.129703,0,0.2367728
0,0.270776,0.09317708,0.2621231,0.1580276,0.05050278,0.1418676,0.2454524,0.09454441,0.08612061,0.2257781,0.2470255,0.1789408,0.135673,0.06432962,0.1296854
0,0.1849029,0.0529325,0.2439456,0.01351309,0.044662,0.1949301,0.2586012,0.08594799,0.08016825,0.1520162,0.231956,0.190979,0.1543555,0.3055768,0.1541722
