EL1: Electronic Ladder,A1: 52Wk
0.34232,2.606249
0.1876287,2.613161
0.013515,2.782736
0,2.805439
0.006629467,2.887384
0,3.015987
0,3.160099
0.1435337,3.282089
0.2025676,3.135986
0.1801243,2.826069
0.1113133,2.67725
0.0226512,2.448864
0.05610228,2.414097
0.02582645,2.293415
0,2.113344
0,1.99951
0,1.917847
0.09205103,1.918158
0.1314468,1.664301
0.2690439,1.415476
0.2967463,1.296684
0.3786311,1.18465
0.5295024,1.292885
0.49472,1.37508
0.4089923,1.29068
0.4777865,1.349783
0.3568201,1.367006
0.3574138,1.369644
0.34062,1.222897
0.3358574,1.220078
0.1729608,1.105782
0.147727,1.032139
0.179019,1.036036
0.1588535,1.013025
0.007524014,0.8899326
0.06429148,0.8962784
0,0.8424511
0.09177399,0.6956501
0.0987606,0.6188374
0.02074575,0.5389099
0,0.4730949
0.09104633,0.5234852
0.1603823,0.6083584
0.2335615,0.7119427
0.06519175,0.6362362
0,0.6484413
0,0.5480461
0,0.3915176
0,0.2795315
0,0.1196594
0.1048288,0.1661148
0.1946735,0.2769566
0.3086977,0.4444885
0.3913779,0.6342869
0.3043423,0.6799107
0.37289,0.7435322
0.2512898,0.6695328
0.1654816,0.6036453
0.1427932,0.3156071
0.0832057,0.08543015
0,0
0,0.07944298
0,0.191391
0,0.3542614
0,0.3440514
0.09038401,0.376009
0.01836443,0.3589096
0.1315432,0.2612038
0.1726341,0.06794357
0.2067938,0.01361275
0.1392446,0.08436584
0.07437706,0.2729015
0.194366,0.4861908
0.1250486,0.6673126
0.1101828,0.7326107
0.1319652,0.9290333
0.05555534,0.9849682
0.005750179,1.064972
0,1.269394
0.1261139,1.376215
0.2172995,1.483326
0.2973599,1.597368
0.3302536,1.653196
0.2756705,1.653482
0.1657648,1.531286
0,1.399612
0,1.224514
0,1.123335
0,1.024052
0.05043316,0.7697563
0.1483798,0.5957928
0.2547216,0.412466
0.291894,0.3880138
0.3965745,0.3210545
0.4153886,0.1479492
0.456738,0.02829552
0.6670008,0.05657959
0.6705513,0
0.6792159,0
0.5804296,0
0.525362,0
0.5910625,0.06308365
0.6398182,0.2983418
0.6327806,0.2021389
0.6581798,0.01866913
0.6589808,0
0.6774168,0
0.5427151,0
