EL1: Electronic Ladder,A1: 60WkDry_F_2,B1: 60WkDry_F_3,C1: 72WkDry_F_2,D1: 72WkDry_F_3,E1: 60WkFrozen_F_2,F1: 60WkFrozen_F_3,G1: 72WkFrozen_F_2,H1: 72WkFrozen_F_3,A2: 24WkDry_F_3,B2: 36WkDry_F_3
3.008267,133.5433,124.2573,100.5304,30.05328,15.06767,158.6152,36.02055,0,0,0.03602362
2.798151,133.0028,122.676,113.2495,30.39652,19.79259,178.3729,46.7154,0,0,0.007120132
2.634225,133.2061,121.9977,127.282,30.92837,25.05497,198.3506,59.20783,0,0,0.01308918
2.382677,133.9321,122.0306,142.9321,31.75547,31.21646,218.2086,73.8806,0,0,0
2.227367,134.9703,122.4873,159.6577,32.71366,38.31987,235.5453,90.46259,0,0,0.007724285
2.095788,136.5806,123.5628,177.9711,34.05583,46.32533,250.5342,109.2454,0,0,0.06950521
1.843846,138.5786,125.1472,197.6053,35.43467,55.61676,262.9772,130.3753,0,0,0
1.697485,140.9418,127.3487,218.3212,36.93135,66.11632,271.3882,153.7197,0,0.03545189,0
1.858475,143.7809,130.3331,240.3057,38.6457,77.51595,275.5701,178.8083,0,0.03565693,0.0226531
1.811575,146.9862,133.7808,262.184,40.66341,90.78104,275.4424,205.6814,0,0.02810812,0
1.964374,150.735,137.7769,284.0623,42.89038,106.012,270.6799,233.7996,0.1741142,0,0.07519484
1.901066,155.0917,142.0723,304.6418,45.08317,123.2193,261.1061,263.1259,1.401425,0,0.05862713
1.778781,160.0084,147.056,324.1902,47.40041,142.1345,247.8435,290.0687,2.745507,0,0.007293224
1.556797,164.8823,152.371,341.039,49.84534,163.1728,231.6501,315.713,4.562559,0,0
1.403651,169.3987,157.9595,353.9129,52.14707,185.6591,212.3369,338.8635,6.724202,0,0
1.308333,174.5706,163.7729,363.1329,54.5648,209.2796,192.3377,358.09,9.252606,0,0.01349497
1.10693,180.2084,169.7562,368.1401,56.92545,233.7704,172.2216,373.5558,12.27907,0,0
1.049143,185.8948,175.9756,367.5436,59.01569,258.1111,152.3479,382.4859,15.89042,0,0
1.241197,191.7921,181.9056,361.7162,61.10085,281.7625,133.9648,385.2402,20.09274,0,0
1.354727,197.8113,187.6952,350.1651,63.13733,304.0922,117.5402,382.0526,24.9802,0,0
1.502384,203.9741,192.8436,333.5905,65.01897,324.0519,103.307,372.9413,30.90621,0,0
1.519122,209.9258,197.7728,313.0936,66.53014,339.9606,91.20463,357.8282,37.79389,0,0
1.324928,215.9394,202.6717,289.9704,68.03049,351.8313,81.50616,336.5061,45.83562,0,0.03786898
1.076735,220.0963,206.7352,264.2758,69.09868,357.4053,73.78976,311.468,54.99051,0,0.1301484
0.9952097,224.0075,210.5277,237.9932,69.99644,356.9061,68.15275,283.9919,65.61707,0,0.2476053
0.8940001,227.8552,213.4991,212.4388,70.71523,349.8552,64.02216,254.8731,77.44411,0,0.2045059
0.725214,231.3852,215.7361,188.7698,71.22512,336.3671,61.23223,226.5206,90.95094,0,0.1159544
0.6926012,234.4849,217.6333,166.8324,71.37023,317.4582,59.54729,198.6849,106.2072,0,0.04171181
0.6888208,237.4757,218.4765,147.6531,71.30788,294.0891,59.00665,173.4121,122.8704,0,0.03125858
0.7387056,240.2165,218.7008,131.1538,71.0741,267.051,59.48128,151.1536,141.2168,0,0
0.8532467,242.3198,218.6017,117.2867,70.64784,238.3789,60.8045,132.3178,160.9357,0,0
0.7408857,243.9311,218.0276,106.563,70.0243,209.7678,62.91159,116.3949,182.1763,0,0
0.7472887,245.1653,217.7066,98.21478,69.39768,182.7699,65.91808,104.1297,204.7898,0,0.01032591
0.8692646,244.8842,216.5797,91.78867,68.47868,157.0889,69.65552,93.59894,227.7055,0,0
1.168772,244.991,215.4436,87.24913,67.77,134.9254,74.17175,85.82082,250.3751,0,0.03532076
1.190784,244.9049,214.125,83.95878,66.87757,115.7249,79.33731,79.7462,271.9931,0,0.03386974
1.200372,244.1888,212.667,81.84905,66.10498,99.60566,85.37592,75.57523,292.4181,0.5298805,0
1.114477,243.1299,211.277,80.4068,65.27229,86.60584,92.12976,72.66681,309.4197,3.81628,0
0.9727325,242.3136,209.4827,79.67658,64.39603,76.17165,99.77901,70.74809,323.0011,8.311478,0.01037884
0.8234692,241.3242,207.921,79.36646,63.59898,68.04256,108.2693,69.63193,332.1201,13.98238,0.09411383
0.8036432,239.9973,206.6469,79.60525,62.92908,62.19674,117.8262,69.27235,336.3698,21.35881,0.1710801
0.7431259,238.8401,204.8905,80.2649,62.47449,58.17783,128.2636,69.36823,335.3997,30.47182,0.1605983
0.7612772,237.7381,203.7064,81.2197,62.11047,55.39217,140.0132,70.27538,329.7587,41.68549,0.1792889
