EL1: Electronic Ladder,A1: 4Wk,B1: 8Wk,C1: 12Wk,D1: 16Wk,E1: 20Wk,F1: 24Wk,G1: 28Wk,H1: 32Wk,A2: 36Wk,B2: 40Wk,C2: 44Wk,D2: 48Wk,E2: 52Wk
6.527324,29.18614,25.71167,0,20.22772,0,0,0.07535696,0,46.58173,0.1687765,0.2108803,0.6247997,0.1486759
6.17592,32.0309,28.27027,0,21.89728,0,0,0.1578465,0,48.27484,0.04275084,0.288435,0.5907307,0.140491
5.929846,35.03449,30.98158,0,23.61452,0.9560127,0,0.3299999,0.01877022,50.07066,0,0.3647337,0.5274458,0.2738719
5.731161,38.01505,33.7896,0,25.27434,2.193777,0,0.2569528,0.1630325,51.88408,0.0008397102,0.3906431,0.4441714,0.2907658
5.530811,41.08687,36.78977,0,27.01457,3.601271,1.187445,0.2245708,0.1976547,53.91621,0,0.3489876,0.2607999,0.2320557
5.314283,44.28307,39.8957,0,28.95658,5.12462,2.710602,0.1629486,0.113718,55.81085,0,0.2438765,0.2563829,0.1487441
5.039759,47.58489,43.30921,0.1677485,31.01575,6.574694,4.214422,0.04873848,0.0969696,57.78798,0,0.2235489,0.1825457,0.1266484
4.879637,50.91467,46.86037,0.7600155,33.11098,8.192383,5.832878,0,0.06285477,59.69884,0.03149128,0.2466536,0.1153979,0.05809879
4.533747,54.34386,50.62727,1.453734,35.11312,9.840103,7.562302,0,0.03654766,61.69405,0.05228043,0.2003584,0.2670746,0.07832527
4.246821,57.7998,54.36129,2.090519,37.22038,11.58521,9.32329,0,0,63.77208,0.1237497,0.1957312,0.2431026,0.0337081
3.987095,61.37957,58.34393,2.838726,39.43468,13.40477,11.15648,0,0,65.87566,0,0.1427727,0.2593026,0.02504873
3.707324,65.08179,62.5533,3.895812,41.63005,15.19035,13.0834,0,0.0518856,67.95906,0,0.2296715,0.174849,0
3.459528,68.88985,66.82587,4.998422,43.70671,17.1452,15.25988,0,0.1017833,70.16158,0.05709934,0.2703419,0.09957123,0.04177046
3.27951,72.75919,71.14016,6.243102,45.72632,19.09203,17.47543,0,0.1593776,72.47656,0.1954517,0.226306,0.1382418,0.003025532
3.214552,76.74829,75.81648,7.572045,47.85062,21.12781,19.65443,0,0.1328125,74.83412,0.1323433,0.2695904,0.09185934,0
3.010284,80.80935,80.83988,8.942657,50.03209,23.18014,21.90062,0,0.07943058,77.08334,0.1725111,0.2722206,0.1186872,0
3.008267,85.05004,86.14678,10.6406,52.36854,25.32766,24.30993,0,0,79.58025,0.05692005,0.1868343,0.08429193,0.01817608
2.798151,89.31358,91.66653,12.40579,54.61993,27.55851,26.70769,0,0,82.08812,0.06292725,0.08660221,0.07393265,0.1177769
2.634225,93.70829,97.30309,14.222,56.93085,29.79262,29.27353,0,0,84.53255,0.04193878,0.02570152,0.2330322,0.26335
2.382677,98.1926,103.1616,16.10152,59.40524,32.11693,31.866,0,0,87.11499,0.05140114,0,0.2288084,0.2617216
