EL1: Electronic Ladder,A1: Fresh_Mo_F_1,B1: Fresh_Mo_F_2,C1: Fresh_Mo_F_3
24.00547,195.4691,63.92608,192.2012
24.92137,195.8913,64.00569,192.7313
26.07762,196.2209,64.05669,193.2573
27.05424,195.722,64.0271,193.6285
28.35841,195.5783,63.85378,193.5873
29.94373,195.7243,63.55161,193.3911
31.9086,195.3073,63.53506,193.5904
34.26385,195.553,63.50026,194.1763
36.98215,194.9511,63.38116,194.6801
40.44484,195.0686,63.35237,194.9928
44.49338,195.2656,63.39148,195.1061
49.04794,195.6067,63.44364,195.5685
54.35099,195.5043,63.36525,195.9422
60.32379,195.2183,63.24212,196.3534
67.59665,194.9801,63.00588,196.2374
76.28723,194.6351,62.88987,196.1685
86.51976,193.7525,62.93783,196.3439
97.90131,193.1193,62.94406,196.2319
110.6739,192.0716,62.96729,195.9101
125.2747,192.2547,62.93994,196.0134
140.65,192.0637,62.87626,195.7457
156.6973,192.2301,62.76532,195.6218
174.3146,191.9632,62.62542,195.6613
192.1764,191.6999,62.23803,195.5562
210.3529,192.1571,61.95548,195.5663
229.0379,191.8006,61.62341,195.6559
247.1249,191.0951,61.27317,195.9377
263.5541,190.1942,61.12384,196.1732
278.7838,189.3236,60.86737,195.9254
292.334,188.5034,60.65447,196.2511
303.5136,188.2371,60.47044,195.9492
312.692,187.9829,60.4952,195.8967
320.2479,187.3024,60.52392,196.1174
324.4709,186.6851,60.40016,195.3544
325.13,186.3343,60.3012,194.9501
321.8196,185.061,60.00547,195.0674
314.2173,184.5766,59.72301,194.8885
301.6001,183.9423,59.55041,194.6943
285.5716,183.6503,59.2363,194.4406
266.1414,183.218,58.95134,194.0153
244.6514,183.4221,58.62985,193.4879
222.0472,183.4354,58.48934,193.3883
199.2599,183.1072,58.28229,193.5872
177.1982,182.7803,58.21034,192.9429
155.8681,182.0638,58.03943,192.7564
135.7902,181.4091,57.88404,192.7872
117.63,181.2155,57.71289,192.5746
101.3451,180.4656,57.45926,192.5785
87.3914,179.936,57.20142,192.5976
75.58495,178.9402,56.92829,192.0947
65.88819,178.224,56.67595,192.0041
58.11989,177.4608,56.62635,192.1917
52.0619,176.2016,56.39438,191.7682
47.68968,175.6177,56.34736,191.4479
44.34575,175.053,56.22768,190.9242
41.65612,174.3527,56.14427,190.3282
39.66372,173.5746,55.88526,189.6319
38.28231,173.0137,55.54438,188.5056
36.87449,172.2748,55.14888,187.3437
35.83654,171.6851,54.88933,186.6958
34.94268,170.7279,54.52157,186.5809
34.24714,169.6312,54.36761,186.146
33.63666,168.6579,54.14603,185.5046
33.13741,168.4931,54.0969,185.4359
32.5499,168.0619,54.02275,185.2368
31.83706,167.5337,53.93727,184.8486
31.33617,166.9969,53.78651,184.6209
30.74152,166.5587,53.59612,184.3312
30.1513,166.1576,53.30428,184.055
29.65636,165.9583,53.11967,184.4317
29.13369,164.3636,52.81514,184.853
29.03858,163.5093,52.70804,184.7961
28.80333,162.2428,52.61778,184.9723
28.68405,161.0331,52.43182,184.9412
28.53453,160.0874,52.22523,184.7831
28.3835,159.0875,51.99798,184.3212
28.41796,158.2545,51.8278,183.9857
28.3785,157.3079,51.56083,183.4561
28.49684,157.0064,51.26926,182.6503
